SequenceID	Realm (-viria)	Realm_score	Subrealm (-vira)	Subrealm_score	Kingdom (-virae)	Kingdom_score	Subkingdom (-virites)	Subkingdom_score	Phylum (-viricota)	Phylum_score	Subphylum (-viricotina)	Subphylum_score	Class (-viricetes)	Class_score	Subclass (-viricetidae)	Subclass_score	Order (-virales)	Order_score	Suborder (-virineae)	Suborder_score	Family (-viridae)	Family_score	Subfamily (-virinae)	Subfamily_score	Genus (-virus)	Genus_score	Subgenus (-virus)	Subgenus_score	Species (binomial)	Species_score
ICTVTaxoChallenge_171038	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Kitrinoviricota	0.999999	N/A	N/A	Flasuviricetes	0.999999	N/A	N/A	Amarillovirales	0.999999	N/A	N/A	Flaviviridae	0.999999	N/A	N/A	Hepacivirus	0.999999	N/A	N/A	Hepacivirus rhabdomysis	0.999999
ICTVTaxoChallenge_171040	Riboviria	0.614	N/A	N/A	Orthornavirae	0.614	N/A	N/A	Negarnaviricota	0.614	Polyploviricotina	0.614	Bunyaviricetes	0.614	N/A	N/A	Hareavirales	0.614	N/A	N/A	Phenuiviridae	0.614	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171053	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171078	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171085	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Polyploviricotina	0.999999	Bunyaviricetes	0.999999	N/A	N/A	Elliovirales	0.999999	N/A	N/A	Peribunyaviridae	0.999999	N/A	N/A	Orthobunyavirus	0.999999	N/A	N/A	Orthobunyavirus termeilense	0.999999
ICTVTaxoChallenge_171094	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Polyploviricotina	0.999999	Bunyaviricetes	0.999999	N/A	N/A	Hareavirales	0.999999	N/A	N/A	Arenaviridae	0.999999	N/A	N/A	Antennavirus	0.999999	N/A	N/A	Antennavirus hirsutum	0.999999
ICTVTaxoChallenge_17110	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171150	Riboviria	0.875	N/A	N/A	Orthornavirae	0.875	N/A	N/A	Pisuviricota	0.875	N/A	N/A	Pisoniviricetes	0.875	N/A	N/A	Picornavirales	0.875	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_17116	Monodnaviria	0.5376	N/A	N/A	Loebvirae	0.5376	N/A	N/A	Hofneiviricota	0.5376	N/A	N/A	Faserviricetes	0.5376	N/A	N/A	Tubulavirales	0.5376	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171189	Monodnaviria	0.999999	N/A	N/A	Shotokuvirae	0.999999	N/A	N/A	Cossaviricota	0.999999	N/A	N/A	Papovaviricetes	0.999999	N/A	N/A	Zurhausenvirales	0.999999	N/A	N/A	Papillomaviridae	0.999999	Firstpapillomavirinae	0.999999	Gammapapillomavirus	0.999999	N/A	N/A	Gammapapillomavirus 24	0.999999
ICTVTaxoChallenge_171228	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Tolecusatellitidae	0.999999	N/A	N/A	Betasatellite	0.999999	N/A	N/A	Betasatellite caricae	0.999999
ICTVTaxoChallenge_171230	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Polyploviricotina	0.999999	Bunyaviricetes	0.999999	N/A	N/A	Elliovirales	0.999999	N/A	N/A	Fimoviridae	0.999999	N/A	N/A	Emaravirus	0.999999	N/A	N/A	Emaravirus vitis	0.999999
ICTVTaxoChallenge_171237	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171269	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Pisuviricota	0.999999	N/A	N/A	Pisoniviricetes	0.999999	N/A	N/A	Picornavirales	0.999999	N/A	N/A	Caliciviridae	0.999999	N/A	N/A	Recovirus	0.999999	N/A	N/A	Recovirus tulani	0.999999
ICTVTaxoChallenge_171283	Monodnaviria	0.626	N/A	N/A	Shotokuvirae	0.626	N/A	N/A	Cressdnaviricota	0.626	N/A	N/A	Repensiviricetes	0.626	N/A	N/A	Geplafuvirales	0.626	N/A	N/A	Genomoviridae	0.626	N/A	N/A	Gemycircularvirus	0.626	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171284	Monodnaviria	0.5	N/A	N/A	Shotokuvirae	0.5	N/A	N/A	Cressdnaviricota	0.5	N/A	N/A	Repensiviricetes	0.5	N/A	N/A	Geplafuvirales	0.5	N/A	N/A	Genomoviridae	0.5	N/A	N/A	Gemytripvirus	0.5	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171297	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Pisuviricota	0.999999	N/A	N/A	Pisoniviricetes	0.999999	N/A	N/A	Picornavirales	0.999999	N/A	N/A	Secoviridae	0.999999	Comovirinae	0.999999	Fabavirus	0.999999	N/A	N/A	Fabavirus lamii	0.999999
ICTVTaxoChallenge_171299	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Pisuviricota	0.999999	N/A	N/A	Pisoniviricetes	0.999999	N/A	N/A	Picornavirales	0.999999	N/A	N/A	Picornaviridae	0.999999	Ensavirinae	0.999999	Enterovirus	0.999999	N/A	N/A	Enterovirus coxsackiepol	0.999999
ICTVTaxoChallenge_171305	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171319	Riboviria	0.926	N/A	N/A	Orthornavirae	0.926	N/A	N/A	Negarnaviricota	0.926	Polyploviricotina	0.926	Bunyaviricetes	0.926	N/A	N/A	Elliovirales	0.926	N/A	N/A	Peribunyaviridae	0.926	N/A	N/A	Orthobunyavirus	0.926	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171321	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171337	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Helsingorvirus	0.999999	N/A	N/A	Helsingorvirus Cba181	0.999999
ICTVTaxoChallenge_17138	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Polyploviricotina	0.999999	Bunyaviricetes	0.999999	N/A	N/A	Hareavirales	0.999999	N/A	N/A	Phenuiviridae	0.999999	N/A	N/A	Phlebovirus	0.999999	N/A	N/A	Phlebovirus kiborgochense	0.999999
ICTVTaxoChallenge_171400	Duplodnaviria	0.7334	N/A	N/A	Heunggongvirae	0.7334	N/A	N/A	Uroviricota	0.7334	N/A	N/A	Caudoviricetes	0.7334	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171408	Monodnaviria	0.999999	N/A	N/A	Shotokuvirae	0.999999	N/A	N/A	Cossaviricota	0.999999	N/A	N/A	Papovaviricetes	0.999999	N/A	N/A	Zurhausenvirales	0.999999	N/A	N/A	Papillomaviridae	0.999999	Firstpapillomavirinae	0.999999	Betapapillomavirus	0.999999	N/A	N/A	Betapapillomavirus 1	0.999999
ICTVTaxoChallenge_171414	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Haploviricotina	0.999999	Monjiviricetes	0.999999	N/A	N/A	Mononegavirales	0.999999	N/A	N/A	Filoviridae	0.999999	N/A	N/A	Thamnovirus	0.999999	N/A	N/A	Thamnovirus percae	0.999999
ICTVTaxoChallenge_171455	Monodnaviria	0.999999	N/A	N/A	Shotokuvirae	0.999999	N/A	N/A	Cressdnaviricota	0.999999	N/A	N/A	Repensiviricetes	0.999999	N/A	N/A	Geplafuvirales	0.999999	N/A	N/A	Genomoviridae	0.999999	N/A	N/A	Gemycircularvirus	0.999999	N/A	N/A	Gemycircularvirus blabi1	0.999999
ICTVTaxoChallenge_171458	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171475	Adnaviria	0.501	N/A	N/A	Zilligvirae	0.501	N/A	N/A	Taleaviricota	0.501	N/A	N/A	Tokiviricetes	0.501	N/A	N/A	Maximonvirales	0.501	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171489	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Weiservirinae	0.999999	Kratiovirus	0.999999	N/A	N/A	Kratiovirus kratio	0.999999
ICTVTaxoChallenge_171505	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171519	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Polyploviricotina	0.999999	Bunyaviricetes	0.999999	N/A	N/A	Elliovirales	0.999999	N/A	N/A	Peribunyaviridae	0.999999	N/A	N/A	Orthobunyavirus	0.999999	N/A	N/A	Orthobunyavirus horizonteense	0.999999
ICTVTaxoChallenge_171539	Riboviria	0.999999	N/A	N/A	Pararnavirae	0.999999	N/A	N/A	Artverviricota	0.999999	N/A	N/A	Revtraviricetes	0.999999	N/A	N/A	Ortervirales	0.999999	N/A	N/A	Caulimoviridae	0.999999	N/A	N/A	Badnavirus	0.999999	N/A	N/A	Badnavirus tesselloziziphi	0.999999
ICTVTaxoChallenge_171578	Varidnaviria	0.5645	N/A	N/A	Bamfordvirae	0.5645	N/A	N/A	Nucleocytoviricota	0.5645	N/A	N/A	Megaviricetes	0.5645	N/A	N/A	Imitervirales	0.5645	N/A	N/A	Mimiviridae	0.5645	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171596	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Haploviricotina	0.999999	Monjiviricetes	0.999999	N/A	N/A	Mononegavirales	0.999999	N/A	N/A	Rhabdoviridae	0.999999	Alpharhabdovirinae	0.999999	Amplylivirus	0.999999	N/A	N/A	Amplylivirus cinereus	0.999999
ICTVTaxoChallenge_1716	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171602	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Pisuviricota	0.999999	N/A	N/A	Pisoniviricetes	0.999999	N/A	N/A	Picornavirales	0.999999	N/A	N/A	Picornaviridae	0.999999	Caphthovirinae	0.999999	Mischivirus	0.999999	N/A	N/A	Mischivirus defoxi	0.999999
ICTVTaxoChallenge_171617	Riboviria	0.5005	N/A	N/A	Orthornavirae	0.5005	N/A	N/A	Duplornaviricota	0.5005	N/A	N/A	Chrymotiviricetes	0.5005	N/A	N/A	Ghabrivirales	0.5005	Alphatotivirineae	0.5005	Quadriviridae	0.5005	N/A	N/A	Quadrivirus	0.5005	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171630	Monodnaviria	0.504	N/A	N/A	Loebvirae	0.504	N/A	N/A	Hofneiviricota	0.504	N/A	N/A	Faserviricetes	0.504	N/A	N/A	Tubulavirales	0.504	N/A	N/A	Inoviridae	0.504	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171641	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	Herelleviridae	0.999999	Jasinskavirinae	0.999999	Pecentumvirus	0.999999	N/A	N/A	Pecentumvirus list36	0.999999
ICTVTaxoChallenge_171677	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Weiservirinae	0.999999	Amginevirus	0.999999	N/A	N/A	Amginevirus amgine	0.999999
ICTVTaxoChallenge_171679	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Pisuviricota	0.999999	N/A	N/A	Pisoniviricetes	0.999999	N/A	N/A	Picornavirales	0.999999	N/A	N/A	Picornaviridae	0.999999	Paavivirinae	0.999999	Potamipivirus	0.999999	N/A	N/A	Potamipivirus balaski	0.999999
ICTVTaxoChallenge_171689	Monodnaviria	0.999999	N/A	N/A	Shotokuvirae	0.999999	N/A	N/A	Cossaviricota	0.999999	N/A	N/A	Papovaviricetes	0.999999	N/A	N/A	Zurhausenvirales	0.999999	N/A	N/A	Papillomaviridae	0.999999	Firstpapillomavirinae	0.999999	Alphapapillomavirus	0.999999	N/A	N/A	Alphapapillomavirus 11	0.999999
ICTVTaxoChallenge_171721	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Kitrinoviricota	0.999999	N/A	N/A	Alsuviricetes	0.999999	N/A	N/A	Tymovirales	0.999999	N/A	N/A	Betaflexiviridae	0.999999	Quinvirinae	0.999999	Carlavirus	0.999999	N/A	N/A	Carlavirus latensnerinis	0.999999
ICTVTaxoChallenge_171731	Monodnaviria	0.999999	N/A	N/A	Shotokuvirae	0.999999	N/A	N/A	Cressdnaviricota	0.999999	N/A	N/A	Repensiviricetes	0.999999	N/A	N/A	Geplafuvirales	0.999999	N/A	N/A	Geminiviridae	0.999999	N/A	N/A	Begomovirus	0.999999	N/A	N/A	Begomovirus chayotis	0.999999
ICTVTaxoChallenge_171732	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	Straboviridae	0.999999	N/A	N/A	Tulanevirus	0.999999	N/A	N/A	Tulanevirus asgz	0.999999
ICTVTaxoChallenge_171737	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Skunavirus	0.999999	N/A	N/A	Skunavirus sv96401	0.999999
ICTVTaxoChallenge_17176	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	Casjensviridae	0.999999	N/A	N/A	Nazgulvirus	0.999999	N/A	N/A	Burkholderia virus BcepNazgul	0.999999
ICTVTaxoChallenge_171764	Monodnaviria	0.999999	N/A	N/A	Shotokuvirae	0.999999	N/A	N/A	Cressdnaviricota	0.999999	N/A	N/A	Repensiviricetes	0.999999	N/A	N/A	Geplafuvirales	0.999999	N/A	N/A	Genomoviridae	0.999999	N/A	N/A	Gemycircularvirus	0.999999	N/A	N/A	Gemycircularvirus abati1	0.999999
ICTVTaxoChallenge_171800	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	Straboviridae	0.999999	N/A	N/A	Tulanevirus	0.999999	N/A	N/A	Tulanevirus asgz	0.999999
ICTVTaxoChallenge_171805	Monodnaviria	0.847	N/A	N/A	Shotokuvirae	0.847	N/A	N/A	Cressdnaviricota	0.847	N/A	N/A	Arfiviricetes	0.847	N/A	N/A	Cremevirales	0.847	N/A	N/A	Smacoviridae	0.847	N/A	N/A	Porprismacovirus	0.847	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171830	Adnaviria	0.999999	N/A	N/A	Zilligvirae	0.999999	N/A	N/A	Taleaviricota	0.999999	N/A	N/A	Tokiviricetes	0.999999	N/A	N/A	Ligamenvirales	0.999999	N/A	N/A	Rudiviridae	0.999999	N/A	N/A	Itarudivirus	0.999999	N/A	N/A	Itarudivirus pozzuoliense	0.999999
ICTVTaxoChallenge_171839	Varidnaviria	0.52	N/A	N/A	Bamfordvirae	0.52	N/A	N/A	Nucleocytoviricota	0.52	N/A	N/A	Megaviricetes	0.52	N/A	N/A	Imitervirales	0.52	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_17184	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Lenarviricota	0.999999	N/A	N/A	Miaviricetes	0.999999	N/A	N/A	Ourlivirales	0.999999	N/A	N/A	Botourmiaviridae	0.999999	N/A	N/A	Penoulivirus	0.999999	N/A	N/A	Penoulivirus macrophominae	0.999999
ICTVTaxoChallenge_171844	Riboviria	0.5146	N/A	N/A	Orthornavirae	0.5146	N/A	N/A	Negarnaviricota	0.5146	Polyploviricotina	0.5146	Bunyaviricetes	0.5146	N/A	N/A	Elliovirales	0.5146	N/A	N/A	Hantaviridae	0.5146	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171847	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Polyploviricotina	0.999999	Bunyaviricetes	0.999999	N/A	N/A	Hareavirales	0.999999	N/A	N/A	Leishbuviridae	0.999999	N/A	N/A	Shilevirus	0.999999	N/A	N/A	Shilevirus leptomonadis	0.999999
ICTVTaxoChallenge_171864	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171874	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Pisuviricota	0.999999	N/A	N/A	Pisoniviricetes	0.999999	N/A	N/A	Picornavirales	0.999999	N/A	N/A	Picornaviridae	0.999999	Caphthovirinae	0.999999	Cardiovirus	0.999999	N/A	N/A	Cardiovirus ranori	0.999999
ICTVTaxoChallenge_17191	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Pisuviricota	0.999999	N/A	N/A	Duplopiviricetes	0.999999	N/A	N/A	Durnavirales	0.999999	N/A	N/A	Hypoviridae	0.999999	N/A	N/A	Epsilonhypovirus	0.999999	N/A	N/A	Epsilonhypovirus entoleucae	0.999999
ICTVTaxoChallenge_171915	Riboviria	0.799	N/A	N/A	Orthornavirae	0.799	N/A	N/A	Duplornaviricota	0.799	N/A	N/A	Chrymotiviricetes	0.799	N/A	N/A	Ghabrivirales	0.799	Alphatotivirineae	0.799	Chrysoviridae	0.799	N/A	N/A	Alphachrysovirus	0.799	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171927	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Lenarviricota	0.999999	N/A	N/A	Miaviricetes	0.999999	N/A	N/A	Ourlivirales	0.999999	N/A	N/A	Botourmiaviridae	0.999999	N/A	N/A	Betascleroulivirus	0.999999	N/A	N/A	Betascleroulivirus miplasmoparae	0.999999
ICTVTaxoChallenge_171941	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Weiservirinae	0.999999	Anayavirus	0.999999	N/A	N/A	Anayavirus niklas	0.999999
ICTVTaxoChallenge_171959	Riboviria	0.701	N/A	N/A	Orthornavirae	0.701	N/A	N/A	Negarnaviricota	0.701	Polyploviricotina	0.701	Bunyaviricetes	0.701	N/A	N/A	Elliovirales	0.701	N/A	N/A	Peribunyaviridae	0.701	N/A	N/A	Orthobunyavirus	0.701	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_171994	Duplodnaviria	0.573	N/A	N/A	Heunggongvirae	0.573	N/A	N/A	Uroviricota	0.573	N/A	N/A	Caudoviricetes	0.573	N/A	N/A	Kirjokansivirales	0.573	N/A	N/A	Haloferuviridae	0.573	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_172	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	Aliceevansviridae	0.999999	N/A	N/A	Brussowvirus	0.999999	N/A	N/A	Brussowvirus Sfi11	0.999999
ICTVTaxoChallenge_172016	Monodnaviria	0.999999	N/A	N/A	Shotokuvirae	0.999999	N/A	N/A	Cossaviricota	0.999999	N/A	N/A	Papovaviricetes	0.999999	N/A	N/A	Zurhausenvirales	0.999999	N/A	N/A	Papillomaviridae	0.999999	Firstpapillomavirinae	0.999999	Dyopipapillomavirus	0.999999	N/A	N/A	Dyopipapillomavirus 1	0.999999
ICTVTaxoChallenge_17204	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_17205	Riboviria	0.5645	N/A	N/A	Orthornavirae	0.5645	N/A	N/A	Pisuviricota	0.5645	N/A	N/A	Pisoniviricetes	0.5645	N/A	N/A	Nidovirales	0.5645	Cornidovirineae	0.5645	Coronaviridae	0.5645	Orthocoronavirinae	0.5645	Betacoronavirus	0.5645	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_17206	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Pisuviricota	0.999999	N/A	N/A	Pisoniviricetes	0.999999	N/A	N/A	Picornavirales	0.999999	N/A	N/A	Secoviridae	0.999999	N/A	N/A	Cheravirus	0.999999	N/A	N/A	Cheravirus arracaciae	0.999999
ICTVTaxoChallenge_172069	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Haploviricotina	0.999999	Monjiviricetes	0.999999	N/A	N/A	Mononegavirales	0.999999	N/A	N/A	Rhabdoviridae	0.999999	Alpharhabdovirinae	0.999999	Sunrhavirus	0.999999	N/A	N/A	Sunrhavirus sunguru	0.999999
ICTVTaxoChallenge_172072	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Krylovvirus	0.999999	N/A	N/A	Krylovvirus tf	0.999999
ICTVTaxoChallenge_172082	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_17209	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	Zierdtviridae	0.999999	Emilbogenvirinae	0.999999	Foxborovirus	0.999999	N/A	N/A	Foxborovirus NatB6	0.999999
ICTVTaxoChallenge_1721	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Duplornaviricota	0.999999	N/A	N/A	Resentoviricetes	0.999999	N/A	N/A	Reovirales	0.999999	N/A	N/A	Spinareoviridae	0.999999	N/A	N/A	Orthoreovirus	0.999999	N/A	N/A	Orthoreovirus mammalis	0.999999
ICTVTaxoChallenge_172112	Duplodnaviria	0.9414	N/A	N/A	Heunggongvirae	0.9414	N/A	N/A	Uroviricota	0.9414	N/A	N/A	Caudoviricetes	0.9414	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_172115	Varidnaviria	0.5	N/A	N/A	Bamfordvirae	0.5	N/A	N/A	Preplasmiviricota	0.5	N/A	N/A	Polintoviricetes	0.5	N/A	N/A	Orthopolintovirales	0.5	N/A	N/A	Adintoviridae	0.5	N/A	N/A	Betadintovirus	0.5	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_172123	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_172149	Riboviria	0.7676	N/A	N/A	Orthornavirae	0.7676	N/A	N/A	Lenarviricota	0.7676	N/A	N/A	Leviviricetes	0.7676	N/A	N/A	Timlovirales	0.7676	N/A	N/A	Steitzviridae	0.7676	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_172176	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Duplornaviricota	0.999999	N/A	N/A	Chrymotiviricetes	0.999999	N/A	N/A	Ghabrivirales	0.999999	Alphatotivirineae	0.999999	Pseudototiviridae	0.999999	N/A	N/A	Victorivirus	0.999999	N/A	N/A	Victorivirus shi	0.999999
ICTVTaxoChallenge_172182	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Duplornaviricota	0.999999	N/A	N/A	Resentoviricetes	0.999999	N/A	N/A	Reovirales	0.999999	N/A	N/A	Spinareoviridae	0.999999	N/A	N/A	Cypovirus	0.999999	N/A	N/A	Cypovirus altineae	0.999999
